Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
results/game17.truth,   1.6,   6.2,   0.0,   0.0,   2.6,   0.4,   7.4,  69.9,   5.6,   3.3,   0.0,
results/game18.truth,   1.4,   5.6,   0.0,   0.0,   1.6,   0.3,   5.5,  72.8,   5.5,   3.5,   0.0,
results/game19.truth,   1.3,   6.2,   0.0,   0.2,   1.1,   0.2,   4.9,  73.2,   4.5,   4.5,   0.0,
results/game20.truth,   0.0,   5.9,   0.0,   0.2,   1.3,   0.2,   3.6,  76.4,   3.3,   4.9,   0.0,
results/game21.truth,   0.2,  11.3,   0.0,   0.6,   1.2,   0.6,   7.9,  62.0,   5.8,   4.9,   0.0,
results/game22.truth,   0.2,  10.7,   0.0,   0.2,   1.3,   0.5,   8.4,  62.3,   6.4,   4.9,   0.0,
results/game23.truth,   0.0,   8.3,   0.0,   0.5,   1.6,   0.6,   5.7,  64.7,   7.0,   5.9,   0.0,
results/game24.truth,   0.1,   9.6,   0.0,   0.6,   1.5,   0.7,   7.9,  60.5,   7.6,   5.6,   0.0,
results/game25.truth,   0.4,   9.4,   0.0,   0.4,   1.6,   0.3,   6.7,  64.4,   7.4,   4.7,   0.0,
results/game26.truth,   0.5,   1.3,   0.0,   0.0,   0.4,   0.7,   3.8,  75.2,   8.5,   5.7,   0.0,
results/game27.truth,   0.3,   1.4,   0.0,   0.0,   0.9,   0.6,   4.6,  72.4,   7.6,   6.4,   0.0,
results/game28.truth,   0.4,   0.5,   0.0,   0.1,   1.3,   0.9,   4.5,  70.9,   9.6,   6.8,   0.0,
results/game29.truth,   0.3,   0.3,   0.0,   0.0,   0.9,   0.8,   4.3,  72.7,   9.0,   6.6,   0.0,
results/game30.truth,   0.6,   0.4,   0.0,   0.3,   1.7,   0.2,   7.8,  67.2,  10.4,   7.6,   0.0,
results/game31.truth,   0.6,   0.2,   0.0,   0.0,   1.3,   0.6,   6.7,  68.7,   9.8,   7.7,   0.0,
results/game32.truth,   0.6,   0.6,   0.0,   0.0,   0.6,   0.4,   6.5,  70.4,   9.8,   6.1,   0.0,
results/game33.truth,   0.7,   0.1,   0.0,   0.1,   1.2,   0.0,   7.6,  72.1,   8.2,   5.1,   0.0,
results/game34.truth,   0.3,   0.3,   0.0,   0.2,   0.3,   0.1,   8.5,  74.8,   6.6,   5.0,   0.0,
results/game35.truth,   0.4,   0.6,   0.0,   0.1,   0.7,   0.1,   5.6,  73.1,   9.2,   5.2,   0.0,
results/game36.truth,   0.4,   0.4,   0.0,   0.0,   0.5,   0.0,   6.3,  73.5,   9.3,   5.8,   0.0,
results/game37.truth,   0.3,   0.6,   0.0,   0.0,   0.1,   0.1,   6.4,  69.1,  11.6,   7.8,   0.0,
results/game38.truth,   0.1,   0.4,   0.0,   0.0,   1.1,   0.0,   5.1,  78.4,   7.0,   4.0,   0.0,
results/game39.truth,   0.2,   0.0,   0.0,   0.0,   0.9,   0.0,   3.4,  81.3,   4.4,   6.5,   0.0,
