Probability of Winning
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
Round 3 Game 6A: Notre Dame defeats Wisconsin,    82,    98,    66,    60,    79,    96,    62,    71,    70,    58,    94,    55,    77,    65,
Round 3 Game 6B: Wisconsin defeats Notre Dame,    82,    98,    66,    60,    79,    96,    62,    71,    70,    58,    94,    51,    77,    65,
Round 3 Game 7A: Virginia defeats Iowa State,    86,   102,    66,    64,    83,   100,    66,    71,    74,    62,    98,    55,    77,    69,
Round 3 Game 7B: Iowa State defeats Virginia,    82,    98,    66,    60,    79,    96,    62,    81,    70,    58,    94,    51,    77,    65,
Round 3 Game 8A: Gonzaga defeats Syracuse,    82,    98,    66,    60,    79,    96,    62,    71,    70,    58,   100,    51,    77,    65,
Round 3 Game 8B: Syracuse defeats Gonzaga,    82,    98,    66,    60,    79,    96,    62,    71,    70,    58,    94,    51,    77,    65,

Max Score
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
s16g4.truth,   122,   151,   112,   110,   143,   194,   138,   173,   168,   130,   206,    71,   106,   161,
Round 3 Game 5A: North Carolina defeats Indiana,   122,   151,   112,   110,   143,   194,   138,   173,   168,   130,   206,    71,   106,   161,
Round 3 Game 5B: Indiana defeats North Carolina,   110,   139,   100,    98,   139,   166,   138,   113,   108,   126,   146,    59,   106,   133,
Round 3 Game 6A: Notre Dame defeats Wisconsin,   122,   151,   112,   110,   143,   194,   138,   173,   168,   130,   206,    71,   106,   161,
Round 3 Game 6B: Wisconsin defeats Notre Dame,   122,   151,   112,   110,   143,   194,   138,   173,   168,   130,   206,    67,   106,   161,
Round 3 Game 7A: Virginia defeats Iowa State,   122,   151,   112,   110,   143,   194,   138,   163,   168,   130,   206,    71,   106,   161,
Round 3 Game 7B: Iowa State defeats Virginia,   118,   147,   112,   106,   139,   190,   134,   173,   164,   126,   194,    67,   106,   157,
Round 3 Game 8A: Gonzaga defeats Syracuse,   122,   151,   112,   110,   143,   194,   138,   173,   168,   130,   206,    71,   106,   161,
Round 3 Game 8B: Syracuse defeats Gonzaga,   122,   151,   112,   110,   143,   194,   138,   173,   168,   130,   200,    71,   106,   161,
